userid,content,star_rating,time
blau****,이쁘고 좋습니다 마니파세요,5,2022-04-28T13:57:12.942+00:00
quee*****,운동갈때 너무 잘 들고 다녀요. 슬리브도 추가 했는데 편리하고 좋습니다. 감사합니다.,5,2022-03-17T03:50:11.398+00:00
yoor*****,아주우 튼튼하고 용량도 많아서  물마시기도 넘오 좋고 무엇보다 스타벅스 가서 벤티 사이즈로 마실때 그냥 기분이 좋아요!ㅋㅋ 저 앞으로 스벅 텀블러 여기서만 살래용,5,2022-03-27T01:57:16.458+00:00
baek**********,생각보다 튼튼하고 불투명한 컵이라 음료 담으면 색이 예쁘네요ㅎㅎ 벤티 사이즈라 크기도 넉넉해서 잘 쓰고 있습니당~~ 선물하기에도 좋을 것 같아요!,5,2022-03-05T14:53:25.576+00:00
umsu****,보온  보냉성은 없지만 좋아요. 쓸만해요,5,2022-04-16T13:05:08.539+00:00
qkdw*******,깔끔하니 가볍게쓰기좋아요,5,2022-04-23T04:50:28.817+00:00
qkdw*******,깔끔하니 가볍게쓰기좋아요,5,2022-04-23T04:50:13.334+00:00
sky6***,배송빠르고 가성비좋습니다,5,2022-03-30T06:50:31.766+00:00
soho******,너무 좋아요 좋아요 다음에 또,5,2022-04-14T12:30:48.572+00:00
ther*****,잘 받았어요. 에어캡으로 안 싼게 아쉽지만 무사히 왔습니다.,5,2022-04-08T03:55:38.879+00:00
soho******,너무 좋아요 너무 좋아요,5,2022-04-14T12:30:11.653+00:00
kms2*****,여기서 사이렌 콜드컵 사서 작년내내 잘 썼어요. 이번엔 1호점 컵으로 재주문했는데  로고가 더 뚜렷하고 고급스럽네요 감사합니다 :),5,2022-03-07T05:12:27.521+00:00
dmsd*****,작년에 시키고 이번에 또 시켰는데 맘에 들어요,5,2022-03-23T09:28:28.019+00:00
besh******,배송도 빠르고 마음에 들어오 ㅎㅎ,5,2022-04-14T09:52:46.760+00:00
jjj6***,매장 원가 21 000원으로 알고 잇는데 넘 저렴하게 구입할 수 있어서 좋아요!,5,2022-03-13T05:54:32.413+00:00
ycjh****,굿 넘 좋아요 ! 용량도 커서 만족,5,2022-04-03T03:21:18.132+00:00
vpsf****,언니랑 공동구매 했어요. 너무 이쁘고 서비스도 감사해요^^,5,2022-04-01T04:53:11.117+00:00
osub****,잘쓸거같아용!!!!,5,2022-04-15T06:49:24.013+00:00
woon*****,좋아요 진짜편해요 핼스갈때,5,2022-03-12T03:08:23.656+00:00
home***,잘 받았습니다~~!,5,2022-03-19T00:53:29.126+00:00
kams****,가볍고 사용하기 편하고 깔끔하니 예쁘네요,5,2022-03-23T12:12:24.934+00:00
zin0***,깔끔하고 가벼워서 들고 다니기도 좋아요,5,2022-03-23T08:46:42.060+00:00
meta*****,가격대비 아주 만족합니다. 감사합니다,5,2022-03-11T08:16:38.439+00:00
pizz*****,디자인도 이쁘고 좋아요,5,2022-03-17T04:35:12.874+00:00
kitt*****,배송이 이렇게빠를줄ㅋㅋㅋ너무이뻐여,5,2022-03-11T14:34:24.122+00:00
tndy*****,회사에서 사용하려고 구매했는데 만족합니다!,5,2022-03-12T14:39:09.300+00:00
shar*****,택배대란으로 배송이 약간 지연되긴했지만  사장님의 친절하고 빠른응대 감사했습니다. 품질도 좋네요. 잘 쓸게요~,5,2022-01-26T16:26:16.696+00:00
shar*****,싸이렌과 오리지널 다 구입했는데 튼튼해 보여서 당분간 잘 사용할듯 합니다~ 핫컵도 벤티사이즈 있으면 담에 또 구매하러 올게요,5,2022-01-26T16:29:13.949+00:00
kgl6***,가볍기도하며 디자인 기능성에도 다른 결함이 없는 밸런스형 제품입니다,5,2022-02-05T04:38:44.977+00:00
ksy3***,생각보다는 작았지만 너무 이쁘고 좋아요,5,2022-02-09T09:32:01.422+00:00
kgl6***,이쁘기도하고 지인도 선물했는데 너무 맘에들어합니다,5,2022-02-05T04:39:54.499+00:00
wrce****,아주 마음에 들어요 좋습니다!,5,2022-02-09T02:21:30.302+00:00
thdp*******,우선 배송이 굉장히 빨랐어요 포장도 꼼꼼히 신경써주신게 너무 느껴지구요! 선물용이라 물건을 보진 못했는데 포장이 제가 생각한 느낌 그 이상으로 좋았어요 선물용으로 너무너무 추천드려요!!,5,2021-12-30T09:59:06.791+00:00
wrce****,아주ㅈ마음에 들어요 좋습니다!,5,2022-02-09T02:20:22.884+00:00
so****,사용하다가 필요해서 또 구매했어요! 잘 사용할게용,5,2022-01-24T01:48:41.761+00:00
hip_*****,같이 일하는 분이 쓰시는거보고 넘 이뻐서 따라 샀어요ㅋ 얼음넣으면 소리도 좋고 짱짱!,5,2022-02-03T04:14:56.806+00:00
kwld*******,딱 생각했던 크기와 디자인이에요 물 마시기 딱 좋을 사이즈! 슬리브 추가 구매하길 잘한 거 같아요 투명이라 이쁘고 좋아요,5,2022-01-07T05:26:23.247+00:00
godi******,벌써 4번째 구입한것같습니다 ㅎ 좋아요,5,2022-01-27T02:52:13.951+00:00
szll******,오우 너무 좋아용 ^^ 감성 굿,5,2022-01-16T07:10:37.652+00:00
